Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Cognitive Level,Subject
Device Drivers and System Calls,What is a device driver stack?,A hierarchy of device drivers that are used to control a device,A hierarchy of system calls that are used to interact with a device,A hierarchy of operating systems that are used to control a device,A hierarchy of programs that are used to interact with a device,1,3,4,OS
Device Drivers and System Calls,Which of the following is NOT a type of device driver?,User mode driver,Kernel mode driver,Virtual mode driver,Hardware mode driver,3,3,3,OS
Device Drivers and System Calls,Which type of system call is used to create a new process?,Process management system call,Memory management system call,File system system call,Device driver system call,1,3,3,OS
Device Drivers and System Calls,Which of the following is a system call used to interact with hardware devices?,ioctl(),open(),close(),read(),1,2,2,OS
Device Drivers and System Calls,Which of the following is a benefit of using system calls for I/O operations instead of using library functions?,Improved security,Improved performance,Improved functionality,Improved compatibility,1,2,2,OS
Device Drivers and System Calls,Which of the following is a system call used to obtain the current time on the system?,time(),gettimeofday(),ctime(),mktime(),2,2,2,OS
Device Drivers and System Calls,Which of the following is a system call used to change the permissions of a file?,chmod(),chown(),rename(),unlink(),1,2,2,OS
Device Drivers and System Calls,Which of the following is a function used to register a device driver with the operating system?,request_irq(),register_chrdev(),open(),ioctl(),2,3,3,OS
Device Drivers and System Calls,Which of the following is NOT a type of system call?,Process management system call,Memory management system call,File system system call,Hardware management system call,4,1,1,OS
Device Drivers and System Calls,What is the main difference between a system call and a library call?,A system call is executed in kernel mode while a library call is executed in user mode.,A library call is executed in kernel mode while a system call is executed in user mode.,A system call is used to manage memory while a library call is used to manage processes.,A library call is used to interact with hardware devices while a system call is used for I/O operations.,1,3,3,OS
Introduction to Operating Systems,What is an operating system?,A program that manages computer hardware,A program that manages computer software,A program that manages computer peripherals,A program that manages computer network,1,1,1,OS
Introduction to Operating Systems,What are the main functions of an operating system?,Resource management,Security and protection,User interface,All of the above,4,2,2,OS
Introduction to Operating Systems,What is the kernel of an operating system?,The central component that provides basic services for all other parts of the OS,A graphical interface that allows users to interact with the OS,A utility program that manages hardware and software resources,An application program that runs on the OS,1,3,3,OS
Introduction to Operating Systems,What is a shell in an operating system?,A program that provides a user interface for accessing operating system services,The central component of an operating system that manages hardware and software resources,A utility program that manages file systems and storage devices,An application program that runs on the OS,1,2,2,OS
Introduction to Operating Systems,What is a process in an operating system?,A program that is currently executing,The physical hardware on which the operating system runs,The file system that stores the operating system,The user interface that allows users to interact with the operating system,1,2,2,OS
Introduction to Operating Systems,What is a thread in an operating system?,A lightweight process that shares the same memory space as its parent process,A separate instance of the operating system that runs in parallel with other instances,A special type of file that stores data in a structured format,A program that is currently executing,1,3,3,OS
Introduction to Operating Systems,What is a scheduler in an operating system?,A component that determines which process/thread should run next,A program that manages file systems and storage devices,A utility that allows users to configure system settings,A graphical interface that allows users to interact with the OS,1,2,2,OS
Introduction to Operating Systems,What is virtual memory in an operating system?,A technique that allows the OS to use more memory than is physically available,A utility that manages hardware and software resources,A program that provides a user interface for accessing operating system services,A special type of file that stores data in a structured format,1,3,3,OS
Introduction to Operating Systems,What is a device driver in an operating system?,A program that allows the operating system to communicate with hardware devices,A program that manages file systems and storage devices,A utility that allows users to configure system settings,A graphical interface that allows users to interact with the OS,1,2,2,OS
Introduction to Operating Systems,What is a system call in an operating system?,An interface between a process and the operating system,A program that provides a user interface for accessing operating system services,A utility that manages hardware and software resources,A special type of file that stores data in a structured format,1,3,3,OS
Operating System Architecture and Components,What is the main function of the kernel in an operating system?,Manages user interfaces,Manages hardware resources,Manages file systems,Manages security,2,1,2,OS
Operating System Architecture and Components,Which of the following is a component of the operating system that manages the allocation of system resources to applications?,File system,Kernel,Device drivers,System calls,2,2,2,OS
Operating System Architecture and Components,Which of the following components is responsible for translating high-level programming languages into machine code that can be executed by the computer?,Compiler,Interpreter,Assembler,Linker,1,2,3,OS
Operating System Architecture and Components,What is the role of the shell in an operating system?,Manages hardware resources,Manages user interfaces,Manages file systems,Manages security,2,1,2,OS
Operating System Architecture and Components,Which of the following is a component of an operating system that manages the communication between hardware and software components?,Kernel,File system,Device drivers,System calls,3,2,3,OS
Operating System Architecture and Components,Which of the following is a type of operating system architecture that allows multiple tasks to run concurrently?,Single-tasking,Multi-tasking,Real-time,Embedded,2,2,2,OS
Operating System Architecture and Components,Which of the following is a component of an operating system that provides a consistent interface for interacting with hardware devices?,Kernel,File system,Device drivers,System calls,3,2,2,OS
Operating System Architecture and Components,What is the purpose of the interrupt handler in an operating system?,To handle user input,To manage hardware resources,To allocate system resources,To respond to hardware events,4,3,3,OS
Operating System Architecture and Components,Which of the following is a component of an operating system that manages the storage and retrieval of data from secondary storage devices?,Kernel,File system,Device drivers,System calls,2,2,2,OS
Operating System Architecture and Components,What is the purpose of the virtual memory manager in an operating system?,To manage the allocation of physical memory,To manage the allocation of virtual memory,To manage the allocation of file system space,To manage the allocation of system resources,2,3,3,OS
Process Management,What is a process?,A program in execution,An application program,An operating system,An input/output device,1,1,1,OS
Process Management,What is a process control block (PCB)?,A data structure used to store information about a process,An output device used to display process information,An input device used to receive process information,An algorithm used to control process execution,1,2,3,OS
Process Management,What is a context switch?,The process of saving the context of one process and restoring the context of another process,The process of switching between user mode and kernel mode,The process of creating a new process,The process of destroying a process,1,2,4,OS
Process Management,What is a process scheduling algorithm?,An algorithm used by the operating system to determine which process should be executed next,An algorithm used by a user to determine which process should be executed next,An algorithm used by the processor to determine which process should be executed next,An algorithm used by the memory management unit to determine which process should be executed next,1,3,4,OS
Process Management,What is a deadlock?,A situation where two or more processes are unable to proceed because they are waiting for each other to release resources,A situation where a process has completed its execution,A situation where a process has terminated abnormally,A situation where a process has terminated normally,2,2,4,OS
Process Management,What is a race condition?,A situation where the behavior of a system depends on the order in which events occur,A situation where two processes are unable to proceed because they are waiting for each other to release resources,A situation where a process has completed its execution,A situation where a process has terminated abnormally,1,2,4,OS
Process Management,What is a thread?,A lightweight process,An operating system,A program in execution,An input/output device,1,1,1,OS
Process Management,What is the difference between a process and a thread?,A process is an independent program with its own memory space while a thread is a subset of a process,A process is a subset of a thread while a thread is an independent program with its own memory space,A process and a thread are the same thing,A process is a program in execution while a thread is an operating system,1,2,3,OS
