Question ID,Question Title,Difficulty Level,Similar Questions Text,Topic Tagged text
1,Two Sum,Easy,"3Sum,4Sum,Two Sum II - Input Array Is Sorted,Two Sum III - Data structure design,Subarray Sum Equals K,Two Sum IV - Input is a BST,Two Sum Less Than K,Max Number of K-Sum Pairs,Count Good Meals,Count Number of Pairs With Absolute Difference K,Number of Pairs of Strings With Concatenation Equal to Target,Find All K-Distant Indices in an Array","Array,Hash Table"
2,Add Two Numbers,Medium,"Multiply Strings,Add Binary,Sum of Two Integers,Add Strings,Add Two Numbers II,Add to Array-Form of Integer,Add Two Polynomials Represented as Linked Lists","Linked List,Math,Recursion"
3,Longest Substring Without Repeating Characters,Medium,"Longest Substring with At Most Two Distinct Characters,Longest Substring with At Most K Distinct Characters,Subarrays with K Different Integers,Maximum Erasure Value,Number of Equal Count Substrings","Hash Table,String,Sliding Window"
4,Median of Two Sorted Arrays,Hard,"Find Array Given Subset Sums,Search a 2D Matrix II,Find a Peak Element II,Super Pow,Maximum Subarray","Array,Binary Search,Divide and Conquer"
5,Longest Palindromic Substring,Medium,"Shortest Palindrome,Palindrome Permutation,Palindrome Pairs,Longest Palindromic Subsequence,Palindromic Substrings","String,Dynamic Programming"
6,Zigzag Conversion,Medium,"String to Integer (atoi),Count and Say,Validate IP Address,Shortest Word Distance III,Remove Comments",String
7,Reverse Integer,Medium,"String to Integer (atoi),Reverse Bits,A Number After a Double Reversal",Math
8,String to Integer (atoi),Medium,"Reverse Integer,Valid Number,Check if Numbers Are Ascending in a Sentence",String
9,Palindrome Number,Easy,"Palindrome Linked List,Find Palindrome With Fixed Length",Math
10,Regular Expression Matching,Hard,Wildcard Matching,"String,Dynamic Programming,Recursion"
11,Container With Most Water,Medium,Trapping Rain Water,"Array,Two Pointers,Greedy"
12,Integer to Roman,Medium,"Roman to Integer,Integer to English Words","Hash Table,Math,String"
13,Roman to Integer,Easy,Integer to Roman,"Hash Table,Math,String"
14,Longest Common Prefix,Easy,"Flip Game,Detect Capital,Longest Uncommon Subsequence I,Student Attendance Record I,To Lower Case",String
15,3Sum,Medium,"Two Sum,3Sum Closest,4Sum,3Sum Smaller","Array,Two Pointers,Sorting"
16,3Sum Closest,Medium,"3Sum,3Sum Smaller","Array,Two Pointers,Sorting"
17,Letter Combinations of a Phone Number,Medium,"Generate Parentheses,Combination Sum,Binary Watch","Hash Table,String,Backtracking"
18,4Sum,Medium,"Two Sum,3Sum,4Sum II,Count Special Quadruplets","Array,Two Pointers,Sorting"
19,Remove Nth Node From End of List,Medium,"Swapping Nodes in a Linked List,Delete N Nodes After M Nodes of a Linked List,Delete the Middle Node of a Linked List","Linked List,Two Pointers"
20,Valid Parentheses,Easy,"Generate Parentheses,Longest Valid Parentheses,Remove Invalid Parentheses,Check If Word Is Valid After Substitutions,Check if a Parentheses String Can Be Valid","String,Stack"
21,Merge Two Sorted Lists,Easy,"Merge k Sorted Lists,Merge Sorted Array,Sort List,Shortest Word Distance II,Add Two Polynomials Represented as Linked Lists,Longest Common Subsequence Between Sorted Arrays","Linked List,Recursion"
22,Generate Parentheses,Medium,"Letter Combinations of a Phone Number,Valid Parentheses,Check if a Parentheses String Can Be Valid","String,Dynamic Programming,Backtracking"
23,Merge k Sorted Lists,Hard,"Merge Two Sorted Lists,Ugly Number II","Linked List,Divide and Conquer,Heap (Priority Queue),Merge Sort"
24,Swap Nodes in Pairs,Medium,"Reverse Nodes in k-Group,Swapping Nodes in a Linked List","Linked List,Recursion"
25,Reverse Nodes in k-Group,Hard,"Swap Nodes in Pairs,Swapping Nodes in a Linked List,Reverse Nodes in Even Length Groups","Linked List,Recursion"
26,Remove Duplicates from Sorted Array,Easy,"Remove Element,Remove Duplicates from Sorted Array II","Array,Two Pointers"
27,Remove Element,Easy,"Remove Duplicates from Sorted Array,Remove Linked List Elements,Move Zeroes","Array,Two Pointers"
28,Implement strStr(),Easy,"Shortest Palindrome,Repeated Substring Pattern","Two Pointers,String,String Matching"
29,Divide Two Integers,Medium,"Sum of Two Integers,Total Hamming Distance,Encode Number,Prime Number of Set Bits in Binary Representation,Number of Steps to Reduce a Number to Zero","Math,Bit Manipulation"
30,Substring with Concatenation of All Words,Hard,Minimum Window Substring,"Hash Table,String,Sliding Window"
31,Next Permutation,Medium,"Permutations,Permutations II,Permutation Sequence,Palindrome Permutation II,Minimum Adjacent Swaps to Reach the Kth Smallest Number","Array,Two Pointers"
32,Longest Valid Parentheses,Hard,Valid Parentheses,"String,Dynamic Programming,Stack"
33,Search in Rotated Sorted Array,Medium,"Search in Rotated Sorted Array II,Find Minimum in Rotated Sorted Array,Pour Water Between Buckets to Make Water Levels Equal","Array,Binary Search"
34,Find First and Last Position of Element in Sorted Array,Medium,"First Bad Version,Plates Between Candles,Find Target Indices After Sorting Array","Array,Binary Search"
35,Search Insert Position,Easy,First Bad Version,"Array,Binary Search"
36,Valid Sudoku,Medium,"Sudoku Solver,Check if Every Row and Column Contains All Numbers","Array,Hash Table,Matrix"
37,Sudoku Solver,Hard,"Valid Sudoku,Unique Paths III","Array,Backtracking,Matrix"
38,Count and Say,Medium,"Encode and Decode Strings,String Compression",String
39,Combination Sum,Medium,"Letter Combinations of a Phone Number,Combination Sum II,Combinations,Combination Sum III,Factor Combinations,Combination Sum IV","Array,Backtracking"
40,Combination Sum II,Medium,Combination Sum,"Array,Backtracking"
41,First Missing Positive,Hard,"Missing Number,Find the Duplicate Number,Find All Numbers Disappeared in an Array,Couples Holding Hands","Array,Hash Table"
42,Trapping Rain Water,Hard,"Container With Most Water,Product of Array Except Self,Trapping Rain Water II,Pour Water","Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack"
43,Multiply Strings,Medium,"Add Two Numbers,Plus One,Add Binary,Add Strings","Math,String,Simulation"
44,Wildcard Matching,Hard,Regular Expression Matching,"String,Dynamic Programming,Greedy,Recursion"
45,Jump Game II,Medium,"Jump Game,Jump Game III,Jump Game VII","Array,Dynamic Programming,Greedy"
46,Permutations,Medium,"Next Permutation,Permutations II,Permutation Sequence,Combinations","Array,Backtracking"
47,Permutations II,Medium,"Next Permutation,Permutations,Palindrome Permutation II,Number of Squareful Arrays","Array,Backtracking"
48,Rotate Image,Medium,Determine Whether Matrix Can Be Obtained By Rotation,"Array,Math,Matrix"
49,Group Anagrams,Medium,"Valid Anagram,Group Shifted Strings","Hash Table,String,Sorting"
50,"Pow(x, n)",Medium,"Sqrt(x),Super Pow","Math,Recursion"
51,N-Queens,Hard,"N-Queens II,Grid Illumination","Array,Backtracking"
52,N-Queens II,Hard,N-Queens,Backtracking
53,Maximum Subarray,Easy,"Best Time to Buy and Sell Stock,Maximum Product Subarray,Degree of an Array,Longest Turbulent Subarray,Maximum Absolute Sum of Any Subarray,Maximum Subarray Sum After One Operation","Array,Divide and Conquer,Dynamic Programming"
54,Spiral Matrix,Medium,"Spiral Matrix II,Spiral Matrix III","Array,Matrix,Simulation"
55,Jump Game,Medium,"Jump Game II,Jump Game III,Jump Game VII","Array,Dynamic Programming,Greedy"
56,Merge Intervals,Medium,"Insert Interval,Meeting Rooms,Meeting Rooms II,Teemo Attacking,Add Bold Tag in String,Range Module,Employee Free Time,Partition Labels,Interval List Intersections,Amount of New Area Painted Each Day,Longest Substring of One Repeating Character","Array,Sorting"
57,Insert Interval,Medium,"Merge Intervals,Range Module",Array
58,Length of Last Word,Easy,"Flip Game,Detect Capital,Longest Uncommon Subsequence I,Student Attendance Record I,To Lower Case",String
59,Spiral Matrix II,Medium,"Spiral Matrix,Spiral Matrix III","Array,Matrix,Simulation"
60,Permutation Sequence,Hard,"Next Permutation,Permutations","Math,Recursion"
61,Rotate List,Medium,"Rotate Array,Split Linked List in Parts","Linked List,Two Pointers"
62,Unique Paths,Medium,"Unique Paths II,Minimum Path Sum,Dungeon Game,Minimum Cost Homecoming of a Robot in a Grid","Math,Dynamic Programming,Combinatorics"
63,Unique Paths II,Medium,"Unique Paths,Unique Paths III","Array,Dynamic Programming,Matrix"
64,Minimum Path Sum,Medium,"Unique Paths,Dungeon Game,Cherry Pickup,Maximum Number of Points with Cost,Minimum Cost Homecoming of a Robot in a Grid","Array,Dynamic Programming,Matrix"
65,Valid Number,Hard,String to Integer (atoi),String
66,Plus One,Easy,"Multiply Strings,Add Binary,Plus One Linked List,Add to Array-Form of Integer","Array,Math"
67,Add Binary,Easy,"Add Two Numbers,Multiply Strings,Plus One,Add to Array-Form of Integer","Math,String,Bit Manipulation,Simulation"
68,Text Justification,Hard,"Rearrange Spaces Between Words,Divide a String Into Groups of Size k","Array,String,Simulation"
69,Sqrt(x),Easy,"Pow(x, n),Valid Perfect Square","Math,Binary Search"
70,Climbing Stairs,Easy,"Min Cost Climbing Stairs,Fibonacci Number,N-th Tribonacci Number","Math,Dynamic Programming,Memoization"
71,Simplify Path,Medium,"Check If Word Is Valid After Substitutions,Maximum Nesting Depth of Two Valid Parentheses Strings,Remove All Adjacent Duplicates in String II,Minimum Remove to Make Valid Parentheses,Count Collisions on a Road","String,Stack"
72,Edit Distance,Hard,"One Edit Distance,Delete Operation for Two Strings,Minimum ASCII Delete Sum for Two Strings,Uncrossed Lines,Minimum White Tiles After Covering With Carpets","String,Dynamic Programming"
73,Set Matrix Zeroes,Medium,"Game of Life,Number of Laser Beams in a Bank,Minimum Operations to Remove Adjacent Ones in Matrix,Remove All Ones With Row and Column Flips II","Array,Hash Table,Matrix"
74,Search a 2D Matrix,Medium,Search a 2D Matrix II,"Array,Binary Search,Matrix"
75,Sort Colors,Medium,"Sort List,Wiggle Sort,Wiggle Sort II","Array,Two Pointers,Sorting"
76,Minimum Window Substring,Hard,"Substring with Concatenation of All Words,Minimum Size Subarray Sum,Sliding Window Maximum,Permutation in String,Smallest Range Covering Elements from K Lists,Minimum Window Subsequence","Hash Table,String,Sliding Window"
77,Combinations,Medium,"Combination Sum,Permutations",Backtracking
78,Subsets,Medium,"Subsets II,Generalized Abbreviation,Letter Case Permutation,Find Array Given Subset Sums,Count Number of Maximum Bitwise-OR Subsets","Array,Backtracking,Bit Manipulation"
79,Word Search,Medium,Word Search II,"Array,Backtracking,Matrix"
80,Remove Duplicates from Sorted Array II,Medium,Remove Duplicates from Sorted Array,"Array,Two Pointers"
81,Search in Rotated Sorted Array II,Medium,Search in Rotated Sorted Array,"Array,Binary Search"
82,Remove Duplicates from Sorted List II,Medium,"Remove Duplicates from Sorted List,Remove Duplicates From an Unsorted Linked List","Linked List,Two Pointers"
83,Remove Duplicates from Sorted List,Easy,"Remove Duplicates from Sorted List II,Remove Duplicates From an Unsorted Linked List",Linked List
84,Largest Rectangle in Histogram,Hard,"Maximal Rectangle,Maximum Score of a Good Subarray","Array,Stack,Monotonic Stack"
85,Maximal Rectangle,Hard,"Largest Rectangle in Histogram,Maximal Square","Array,Dynamic Programming,Stack,Matrix,Monotonic Stack"
86,Partition List,Medium,Partition Array According to Given Pivot,"Linked List,Two Pointers"
87,Scramble String,Hard,"Edit Distance,Distinct Subsequences,Palindrome Partitioning II,Encode String with Shortest Length,Decode Ways II","String,Dynamic Programming"
88,Merge Sorted Array,Easy,"Merge Two Sorted Lists,Squares of a Sorted Array,Interval List Intersections","Array,Two Pointers,Sorting"
89,Gray Code,Medium,1-bit and 2-bit Characters,"Math,Backtracking,Bit Manipulation"
90,Subsets II,Medium,"Subsets,Find Array Given Subset Sums","Array,Backtracking,Bit Manipulation"
91,Decode Ways,Medium,"Decode Ways II,Number of Ways to Separate Numbers","String,Dynamic Programming"
92,Reverse Linked List II,Medium,Reverse Linked List,Linked List
93,Restore IP Addresses,Medium,IP to CIDR,"String,Backtracking"
94,Binary Tree Inorder Traversal,Easy,"Validate Binary Search Tree,Binary Tree Preorder Traversal,Binary Tree Postorder Traversal,Binary Search Tree Iterator,Kth Smallest Element in a BST,Closest Binary Search Tree Value II,Inorder Successor in BST,Convert Binary Search Tree to Sorted Doubly Linked List,Minimum Distance Between BST Nodes","Stack,Tree,Depth-First Search,Binary Tree"
95,Unique Binary Search Trees II,Medium,"Unique Binary Search Trees,Different Ways to Add Parentheses","Dynamic Programming,Backtracking,Tree,Binary Search Tree,Binary Tree"
96,Unique Binary Search Trees,Medium,Unique Binary Search Trees II,"Math,Dynamic Programming,Tree,Binary Search Tree,Binary Tree"
97,Interleaving String,Medium,"Longest Palindromic Substring,Decode Ways,Longest Palindromic Subsequence,Delete Operation for Two Strings,Palindromic Substrings","String,Dynamic Programming"
98,Validate Binary Search Tree,Medium,"Binary Tree Inorder Traversal,Find Mode in Binary Search Tree","Tree,Depth-First Search,Binary Search Tree,Binary Tree"
99,Recover Binary Search Tree,Medium,"Validate Binary Search Tree,Kth Smallest Element in a BST,Inorder Successor in BST,Count Nodes Equal to Sum of Descendants,Count Complete Tree Nodes","Tree,Depth-First Search,Binary Search Tree,Binary Tree"
100,Same Tree,Easy,"Maximum Depth of Binary Tree,Minimum Depth of Binary Tree,Path Sum,Average of Levels in Binary Tree,Univalued Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
101,Symmetric Tree,Easy,"Maximum Depth of Binary Tree,Minimum Depth of Binary Tree,Path Sum,Average of Levels in Binary Tree,Univalued Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
102,Binary Tree Level Order Traversal,Medium,"Binary Tree Zigzag Level Order Traversal,Binary Tree Level Order Traversal II,Minimum Depth of Binary Tree,Binary Tree Vertical Order Traversal,Average of Levels in Binary Tree,N-ary Tree Level Order Traversal,Cousins in Binary Tree","Tree,Breadth-First Search,Binary Tree"
103,Binary Tree Zigzag Level Order Traversal,Medium,Binary Tree Level Order Traversal,"Tree,Breadth-First Search,Binary Tree"
104,Maximum Depth of Binary Tree,Easy,"Balanced Binary Tree,Minimum Depth of Binary Tree,Maximum Depth of N-ary Tree,Time Needed to Inform All Employees","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,Construct Binary Tree from Inorder and Postorder Traversal,"Array,Hash Table,Divide and Conquer,Tree,Binary Tree"
106,Construct Binary Tree from Inorder and Postorder Traversal,Medium,Construct Binary Tree from Preorder and Inorder Traversal,"Array,Hash Table,Divide and Conquer,Tree,Binary Tree"
107,Binary Tree Level Order Traversal II,Medium,"Binary Tree Level Order Traversal,Average of Levels in Binary Tree","Tree,Breadth-First Search,Binary Tree"
108,Convert Sorted Array to Binary Search Tree,Easy,Convert Sorted List to Binary Search Tree,"Array,Divide and Conquer,Tree,Binary Search Tree,Binary Tree"
109,Convert Sorted List to Binary Search Tree,Medium,"Convert Sorted Array to Binary Search Tree,Create Binary Tree From Descriptions","Linked List,Divide and Conquer,Tree,Binary Search Tree,Binary Tree"
110,Balanced Binary Tree,Easy,Maximum Depth of Binary Tree,"Tree,Depth-First Search,Binary Tree"
111,Minimum Depth of Binary Tree,Easy,"Binary Tree Level Order Traversal,Maximum Depth of Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
112,Path Sum,Easy,"Path Sum II,Binary Tree Maximum Path Sum,Sum Root to Leaf Numbers,Path Sum III,Path Sum IV","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
113,Path Sum II,Medium,"Path Sum,Binary Tree Paths,Path Sum III,Path Sum IV,Step-By-Step Directions From a Binary Tree Node to Another","Backtracking,Tree,Depth-First Search,Binary Tree"
114,Flatten Binary Tree to Linked List,Medium,"Flatten a Multilevel Doubly Linked List,Correct a Binary Tree","Linked List,Stack,Tree,Depth-First Search,Binary Tree"
115,Distinct Subsequences,Hard,Number of Unique Good Subsequences,"String,Dynamic Programming"
116,Populating Next Right Pointers in Each Node,Medium,"Populating Next Right Pointers in Each Node II,Binary Tree Right Side View","Linked List,Tree,Depth-First Search,Breadth-First Search,Binary Tree"
117,Populating Next Right Pointers in Each Node II,Medium,Populating Next Right Pointers in Each Node,"Linked List,Tree,Depth-First Search,Breadth-First Search,Binary Tree"
118,Pascal's Triangle,Easy,Pascal's Triangle II,"Array,Dynamic Programming"
119,Pascal's Triangle II,Easy,"Pascal's Triangle,Find Triangular Sum of an Array","Array,Dynamic Programming"
120,Triangle,Medium,"Maximum Product Subarray,House Robber,House Robber II,Paint House,Best Time to Buy and Sell Stock with Cooldown","Array,Dynamic Programming"
121,Best Time to Buy and Sell Stock,Easy,"Maximum Subarray,Best Time to Buy and Sell Stock II,Best Time to Buy and Sell Stock III,Best Time to Buy and Sell Stock IV,Best Time to Buy and Sell Stock with Cooldown,Sum of Beauty in the Array,Maximum Difference Between Increasing Elements","Array,Dynamic Programming"
122,Best Time to Buy and Sell Stock II,Medium,"Best Time to Buy and Sell Stock,Best Time to Buy and Sell Stock III,Best Time to Buy and Sell Stock IV,Best Time to Buy and Sell Stock with Cooldown,Best Time to Buy and Sell Stock with Transaction Fee","Array,Dynamic Programming,Greedy"
123,Best Time to Buy and Sell Stock III,Hard,"Best Time to Buy and Sell Stock,Best Time to Buy and Sell Stock II,Best Time to Buy and Sell Stock IV,Maximum Sum of 3 Non-Overlapping Subarrays","Array,Dynamic Programming"
124,Binary Tree Maximum Path Sum,Hard,"Path Sum,Sum Root to Leaf Numbers,Path Sum IV,Longest Univalue Path,Time Needed to Inform All Employees","Dynamic Programming,Tree,Depth-First Search,Binary Tree"
125,Valid Palindrome,Easy,"Palindrome Linked List,Valid Palindrome II,Maximum Product of the Length of Two Palindromic Subsequences,Find First Palindromic String in the Array","Two Pointers,String"
126,Word Ladder II,Hard,"Word Ladder,Groups of Strings","Hash Table,String,Backtracking,Breadth-First Search"
127,Word Ladder,Hard,"Word Ladder II,Minimum Genetic Mutation","Hash Table,String,Breadth-First Search"
128,Longest Consecutive Sequence,Medium,"Binary Tree Longest Consecutive Sequence,Find Three Consecutive Integers That Sum to a Given Number","Array,Hash Table,Union Find"
129,Sum Root to Leaf Numbers,Medium,"Path Sum,Binary Tree Maximum Path Sum,Smallest String Starting From Leaf","Tree,Depth-First Search,Binary Tree"
130,Surrounded Regions,Medium,"Number of Islands,Walls and Gates","Array,Depth-First Search,Breadth-First Search,Union Find,Matrix"
131,Palindrome Partitioning,Medium,"Palindrome Partitioning II,Palindrome Partitioning IV","String,Dynamic Programming,Backtracking"
132,Palindrome Partitioning II,Hard,"Palindrome Partitioning,Palindrome Partitioning IV","String,Dynamic Programming"
133,Clone Graph,Medium,"Copy List with Random Pointer,Clone Binary Tree With Random Pointer,Clone N-ary Tree","Hash Table,Depth-First Search,Breadth-First Search,Graph"
134,Gas Station,Medium,Maximize the Topmost Element After K Moves,"Array,Greedy"
